New Account;New Sub Account;Username;Username Sub Account
Aker;Akastor;aker;akastor
Aker;Aker Achievements;aker;aker_achievements
Aker;Aker ASA;aker;aker
Aker;Aker Biomarine AS;aker;aker_biomarine
Aker;Aker BP ASA;aker;aker_bp
Aker;Aker Energy;aker;aker_energy
Aker;Aker Floating Production ASA;aker;aker_floating_production
Aker;Aker Pensjonskasse;aker;aker_pensjonskasse
Aker;Aker Solutions AS;aker;aker_solutions
Aker;Aker Solutions IT;aker;aker_solutions_it
Aker;AKOFS Offshore Operations AS;aker;akofs_offshore_operations
Aker;American Shipping Company ASA;aker;american_shipping_company
Aker;Converto AS;aker;converto
Aker;First Geo AS;aker;first_geo
Aker;FP Fornebuporten;aker;fp_fornebuporten
Aker;Havfisk ASA;aker;havfisk
Aker;Intellectual Property Holdings AS;aker;intellectual_property_holdings
Aker;KOP Surface Products;aker;kop_surface_products
Aker;Kværner AS;aker;kværner
Aker;Lerøy Norway Seafoods AS;aker;lerøy_norway_seafoods
Aker;MHWirth AS;aker;mhwirth
Aker;National Oilwell Varco;aker;national_oilwell_varco
Aker;Norron;aker;norron
Aker;Ocean Data Foundation;aker;ocean_data_foundation
Aker;Ocean Harvest AS;aker;ocean_harvest
Aker;Ocean Yield;aker;ocean_yield
Aker;Oslo Asset Management AS;aker;osloset_management
Aker;Philly Shipyard ASA;aker;philly_shipyard
Aker;REV Ocean Inc.;aker;rev_ocean
Aker;Stiftelsen VI;aker;stiftelsen_vi
Aker;Trygg Pharma;aker;trygg_pharma
Amanda Seafoods A/S;Amanda Seafoods A/S;amanda_seafoods;amanda_seafoods
Bank Norwegian;Bank Norwegian;bank_norwegian;bank_norwegian
Borregaard;Borregaard;borregaard;borregaard
Cargill;Cargill;cargill;cargill
Cermaq;Cermaq;cermaq;cermaq
Glava;Glava;glava;glava
Hydro;ASKEY;hydro;askey
Hydro;Domal;hydro;domal
Hydro;Extruded Solutions;hydro;extruded_solutions
Hydro;Extrusion Europe;hydro;extrusion_europe
Hydro;Extrusion North America;hydro;extrusion_north_america
Hydro;Norsk Hydro ASA;hydro;norsk_hydro
Hydro;Precision tubing;hydro;precision_tubing
Hydro;SAPA;hydro;sapa
Hydro;Technal;hydro;technal
Hydro;Wicona;hydro;wicona
INSR;INSR;insr;insr
Marine Biomed;Marine Biomed;marine_biomed;marine_biomed
Mills;Mills;mills;mills
Nordan;Nordan;nordan;nordan
Norgips Norge;Norgips Norge;norgips_norge;norgips_norge
Norwegian Air;Arctic Aviation Assets;norwegian_air;arctic_aviationsets
Norwegian Air;Cargo Norwegian;norwegian_air;cargo_norwegian
Norwegian Air;Norwegian Air Shuttle;norwegian_air;norwegian_air_shuttle
Norwegian Air;Norwegian Cargo;norwegian_air;norwegian_cargo
Norwegian Air;Norwegian Holidays;norwegian_air;norwegian_holidays
Norwegian Air;Norwegian Reward;norwegian_air;norwegian_reward
Orkla;APC Hol-Pol;orkla;apc_hol_pol
Orkla;Arne B Corneliussen;orkla;arne_b_corneliussen
Orkla;Bakalland Rieber Polska;orkla;bakalland_rieber_polska
Orkla;Bako AS;orkla;bako
Orkla;Blume Food I/S;orkla;blume_food
Orkla;Call Caterlink Ltd;orkla;call_caterlink
Orkla;Condite Oy;orkla;condite
Orkla;County Confectionery Ltd;orkla;county_confectionery
Orkla;Credin Polska;orkla;credin_polska
Orkla;Credin Portugal;orkla;credin_portugal
Orkla;Credin Spain;orkla;credin_spain
Orkla;Credin Sverige AB;orkla;credin_sverige
Orkla;Dragsbaek A/S;orkla;dragsbaek
Orkla;Eisunion Gmbh;orkla;eisunion_gmbh
Orkla;Ekord17;orkla;ekord17
Orkla;Ekvia s.r.o;orkla;ekvia
Orkla;Felix Austria;orkla;felix_austria
Orkla;Foodoki AB;orkla;foodoki
Orkla;Frima Vafler;orkla;frima_vafler
Orkla;Groendansk Aps;orkla;groendansk_aps
Orkla;Hamilton-Acorn;orkla;hamilton_acorn
Orkla;Home and Personal Care Norge;orkla;home_and_personal_care_norge
Orkla;HSNG Gymgrossisten;orkla;hsng_gymgrossisten
Orkla;I AM Food;orkla;i_am_food
Orkla;Idun Industri AS;orkla;idun_industri
Orkla;Italiensk Bakeri AS;orkla;italiensk_bakeri
Orkla;Jastbolaget AB;orkla;jastbolaget
Orkla;Kaka;orkla;kaka
Orkla;Kobo;orkla;kobo
Orkla;Laan Heiloo B.V;orkla;laan_heiloo
Orkla;LG Harris;orkla;lg_harris
Orkla;Lilleborg Profesjonell;orkla;lilleborg_profesjonell
Orkla;My Bakery AS;orkla;my_bakery
Orkla;Naturli Foods;orkla;naturli_foods
Orkla;NIC Nederland BV;orkla;nic_nederland
Orkla;Nimatopaal AB;orkla;nimatopaal
Orkla;OCSDK;orkla;ocsdk
Orkla;OCSNO;orkla;ocsno
Orkla;OCSSE;orkla;ocsse
Orkla;Odense Marcipan AS;orkla;odense_marcipan
Orkla;Oera Naering;orkla;oera_naering
Orkla;OFI Tjekkia;orkla;ofi_tjekkia
Orkla;Optimzd AS;orkla;optimzd
Orkla;Orchard Valley Foods Limited;orkla;orchard_valley_foods
Orkla;Orkla ASA;orkla;orkla
Orkla;Orkla Care Danmark;orkla;orkla_care_danmark
Orkla;Orkla Care Export;orkla;orkla_care_export
Orkla;Orkla Care Finland;orkla;orkla_care_finland
Orkla;Orkla Care Poland;orkla;orkla_care_poland
Orkla;Orkla Care Sverige;orkla;orkla_care_sverige
Orkla;Orkla Credin;orkla;orkla_credin
Orkla;Orkla Credin CBP;orkla;orkla_credin_cbp
Orkla;Orkla Design AS;orkla;orkla_design
Orkla;Orkla Eesti;orkla;orkla_eesti
Orkla;Orkla Eesti Prominent Food;orkla;orkla_eesti_prominent_food
Orkla;Orkla Eiendom AS;orkla;orkla_eiendom
Orkla;Orkla Foods Cesko a Slovensko;orkla;orkla_foods_cesko_a_slovensko
Orkla;Orkla Foods DK;orkla;orkla_foods_dk
Orkla;Orkla Foods NO;orkla;orkla_foods_no
Orkla;Orkla Foods Romania;orkla;orkla_foods_romania
Orkla;Orkla Foods SE;orkla;orkla_foods_se
Orkla;Orkla Health Export;orkla;orkla_health_export
Orkla;Orkla Health Group Marketing;orkla;orkla_health_group_marketing
Orkla;Orkla Health Norge;orkla;orkla_health_norge
Orkla;Orkla Health UAB;orkla;orkla_health_uab
Orkla;Orkla Health Wound Care;orkla;orkla_health_wound_care
Orkla;Orkla Home & Personal Care;orkla;orkla_home_personal_care
Orkla;Orkla House Care AB;orkla;orkla_house_care
Orkla;Orkla House Care Danmark;orkla;orkla_house_care_danmark
Orkla;Orkla HPC Ingrid Danielson;orkla;orkla_hpc_ingrid_danielson
Orkla;Orkla Suomi;orkla;orkla_suomi
Orkla;Oslo Business Park AS;orkla;oslo_business_park
Orkla;PGD Sp. z o.o.;orkla;pgd_sp
Orkla;Pierre Robert Group AS;orkla;pierre_robert_group
Orkla;Pierre Robert OY;orkla;pierre_robert_finland
Orkla;Plusstid Home AS;orkla;plusstid_home
Orkla;Pureoil I/S;orkla;pureoil
Orkla;Raw Snacks;orkla;raw_snacks
Orkla;Seb-Mag;orkla;seb_mag
Orkla;SIA LaNordija;orkla;sia_lanordija
Orkla;Sonneveld Group;orkla;sonneveld_group
Orkla;SR Food A/S;orkla;sr_food
Orkla;Struer A/S;orkla;struer
Orkla;Suslavicius Felix;orkla;suslavicius_felix
Orkla;Teepi;orkla;teepi
Orkla;UAB Minordija;orkla;uab_minordija
Orkla;UAB Orkla Foods Lietuva;orkla;uab_orkla_foods_lietuva
Orkla;UAB Vilniaus Margarino Gamykla;orkla;uab_vilniaus_margarino_gamykla
Orkla;Vaffelbagaren Kristianstad;orkla;vaffelbagaren_kristianstad
Orkla;Vilmix OU;orkla;vilmix
Orkla;Vitana;orkla;vitana
Orkla;Weifa Derma;orkla;weifa_derma
Orkla;Werners Gourmetservice;orkla;werners_gourmetservice
Quant;Quant;quant;quant
Selmer;Selmer;selmer;selmer
Sno Oslo;Sno Oslo;sno_oslo;sno_oslo
Softgarden;Softgarden;softgarden;softgarden
Sparebank1;Sparebank 1 Markets;sparebank1;sparebank_1_markets
Techstep;Techstep;techstep;techstep
Valedo Partners;Valedo Partners;valedo_partners;valedo_partners
Veidekke;Veidekke ASA;veidekke;veidekke_asa
Veidekke;Veidekke Bolig AS;veidekke;veidekke_bolig
Veidekke;Veidekke Eiendom AS;veidekke;veidekke_eiendom
Veidekke;Veidekke Entreprenor AS;veidekke;veidekke_entreprenor
Veidekke;Veidekke Industri AS;veidekke;veidekke_industri
